feature,importance
followup_days,0.60367703
drug_metformin,0.11370251
drug_sglt2,0.054143637
drug_class_num,0.045725174
drug_glp1,0.030915823
age_at_index,0.014133764
glp1_x_codx,0.013420123
days_since_t2dm_dx,0.008314365
age_over65,0.0070338706
nafld,0.006480094
hypertension,0.0059472146
neuropathy,0.0058790166
retinopathy,0.005816901
stroke,0.0056052455
heart_failure,0.005592201
sglt2_x_codx,0.005585181
mi,0.005367928
hyperlipidemia,0.005364558
depression,0.0053047114
cci,0.005270656
sglt2_x_cci,0.0052348794
comorbidity_count,0.0050187027
pvd,0.0050068917
obesity,0.004708401
ckd,0.004691047
atrial_fibrillation,0.0046306807
glp1_x_cci,0.004566142
sex_female,0.0045620454
sleep_apnea,0.0043555656
sex_male,0.0039456836
nash,0.0
