feature,mean_auc_drop,std_auc_drop
followup_days,0.44561969720475164,0.011975647143020898
days_since_t2dm_dx,0.006467943301125323,0.0007601527592793156
age_at_index,0.0064064278757615225,0.0010527893843668222
drug_class_num,0.0008102133275606826,0.00032638199413115987
glp1_x_codx,0.000452550386973305,0.0001419607462239467
nafld,0.0002880573283092325,0.00010102243553041785
drug_glp1,0.0001358995821108433,6.855951755066619e-05
heart_failure,0.00010161074732448761,7.878418094401045e-05
sglt2_x_codx,7.902934648632565e-05,2.573663324444112e-05
drug_metformin,7.850148401604695e-05,9.79194609242505e-05
ckd,6.948892689015996e-05,4.5316007220473464e-05
retinopathy,6.568831710341838e-05,5.092920555123094e-05
neuropathy,4.35625449239585e-05,4.995420814574802e-05
hyperlipidemia,4.3079134030077346e-05,6.903848260793797e-05
glp1_x_cci,4.1351078995366385e-05,3.606127975414726e-05
sglt2_x_cci,3.127168403472824e-05,2.2600534036117818e-05
comorbidity_count,2.9927023847053923e-05,7.863437544486277e-05
stroke,1.941422601590137e-05,2.6882412438252748e-05
obesity,1.8491855804525502e-05,3.9307736016231254e-05
depression,1.7413905075525093e-05,1.962500917078816e-05
mi,1.536913255872907e-05,2.225449929165638e-05
sex_male,8.956992655317908e-06,1.6987046496706708e-05
drug_sglt2,4.4007060689410515e-06,1.8436535829357085e-05
atrial_fibrillation,4.267351339559689e-06,2.692208177403762e-05
nash,0.0,0.0
sleep_apnea,-2.8387888012182394e-05,3.108256270013245e-05
hypertension,-2.9426943611754464e-05,8.858434689568604e-05
pvd,-3.1193893775793845e-05,2.0662576114808318e-05
age_over65,-3.4677786080239414e-05,2.6289998519404732e-05
sex_female,-3.7761614196618606e-05,5.340544741749433e-05
cci,-0.00011068442536771306,5.32558594988589e-05
